Key,Translation
apiVersion,API-Version
apiVersionPrefix,
favoriteColor,
favoriteKeyboard,
hostedOn,Mit GitHub Pages betrieben
jobsAhead,
jobsWaiting,wartende Job(s)
maintain,Dieses Projekt wird von den QMK-Entwicklern und -Mitwirkenden bereitgestellt. Helfen Sie mit!
ready,
searchKeycodes,
serverIs,
serverStatus,Server-Status
settings,
statsTemplate,"
{layers} Ebenen und {count} keycodes geladen. Es wurden {any} freie Keycodes Definiert
"
ColorwayTip:title,Strg + Alt + N zum Wechseln des Farbschemas
compile:label,Kompilieren
compile:title,Tastaturbelegung kompilieren
downloadFirmware:label,Firmware
downloadFirmware:title,Firmware-Datei zum Flashen herunterladen
downloadJSON:label,Keymap.JSON
downloadJSON:title,QMK Keymap als JSON Datei exportieren
downloadKeymap:label,Nur Tastenbelegung
downloadKeymap:title,Nur die keymap.c Datei herunterladen
downloadSource:label,Full Source
downloadSource:title,QMK-Firmwarecode herunterladen
downloadToolbox:label,Hole dir QMK Toolbox
errors:invalidQMKKeymap,Leider scheint dies keine gültige QMK-Keymap-Datei zu sein.
errors:kbfirmwareJSONUnsupported,"Entschuldigung, QMK Configurator unterstützt das Importieren von kbfirmware JSON-Dateien nicht."
errors:unknownJSON,"Es tut uns leid, dies scheint keine QMK-Keymap-Datei zu sein."
errors:unsupportedBrowser,Sie verwenden einen nicht unterstützten Browser. Bitte nutzen Sie
flashFile:label,Eigener Flash
flashFile:title,Selbst gewählte Datei auf Mikrochip flashen
flashFirmware:label,Auto-Flash
flashFirmware:title,Kompilierte Firmware automatisch auf Mikrochip flashen
help:label,Hilfe holen
importJSON:title,QMK Keymap aus JSON Datei importieren
importUrlJSON:title,QMK Keymap aus JSON von URL importieren
keyboard:label,Tastatur
keycodes:label,Keycodes
keycodesRef:label,Keycode-Referenz
keycodesTab:ANSI:label,ANSI
keycodesTab:AppMediaMouse:label,"App, Media und Maus"
keycodesTab:ISO/JIS:label,ISO/JIS
keycodesTab:KeyboardSettings:label,Tastatureinstellungen
keycodesTab:Quantum:label,Quantum
keymap:label,Tastenbelegung
keymapHelp:label,
keymapHelp:title,
keymapName:label,Name
keymapName:placeholder,Eigener Name der Tastaturbelegung
layer:confirm,Soll die Ebene wirklich gelöscht werden?
layer:label,Ebene
layer:title,Ebene löschen
layout:label,Layout
loadDefault:label,Zurücksetzen
loadDefault:title,Standard-Tastaturbelegung der QMK Firmware laden
potato:1,Henry Spalding pflanzte erstmals 1837 Kartoffeln in Idaho
potato:10,China ist der weltweit größte Kartoffelproduzent.
potato:11,"Kartoffeln waren das erste Gemüse, das im Weltraum angebaut wurde."
potato:12,Kartoffeln sind völlig glutenfrei.
potato:13,"Eine der grundlegendsten Zeitangaben der Inkas war die Zeit, die zum Kochen einer Kartoffel benötigt wurde."
potato:14,"Wenn eine Kartoffel während des Wachstums Licht ausgesetzt ist, wird sie grün und giftig."
potato:15,Für die Herstellung von 250 kg Kartoffelchips werden 1000 kg Kartoffeln benötigt.
potato:16,Heutzutage gibt es mehr als 4000 verschiedene Kartoffelsorten.
potato:17,Kartoffeln gehören zu der Familie der Nachtschattengewächse oder Solanaceae.
potato:18,Während des alaskischen Klondike-Goldrausches (1897-1898) waren Kartoffeln genauso viel wert wie Gold.
potato:19,Sir Walter Raleigh führte 1589 Kartoffeln in Irland ein. Er baute sie in der Nähe von Cork an.
potato:2,"Pommes wurden in Amerika eingeführt, als Thomas Jefferson sie bei einem Abendessen im Weißen Haus servierte."
potato:20,"Kartoffeln sind das ganze Jahr über erhältlich, da sie immer irgendwo geerntet werden."
potato:21,"In Afrika und Asien beheimatet, variieren die Yamswurzeln in ihrer Größe von einer kleinen Kartoffel bis zur Rekordgröße von 60 kg."
potato:22,In den USA sind der 19. August und der 27. Oktober Nationaler Kartoffeltag.
potato:23,"Kartoffeln werden auch zum Brauen von alkoholischen Getränken wie Wodka, Potcheen oder Akvavit verwendet."
potato:24,Kartoffeln gehören zu den umweltfreundlichsten Gemüsen. Sie lassen sich leicht anbauen und benötigen keine großen Mengen an Dünger oder chemischen Zusatzstoffen.
potato:25,"Die Kartoffel stammte aus einer Region Südperus, wo sie erstmals zwischen 8000 und 5000 v. Chr. domestiziert wurde."
