Key,Translation
apiVersion,Version de l'API
apiVersionPrefix,
favoriteColor,
favoriteKeyboard,
hostedOn,Hébergé sur GitHub Pages
jobsAhead,
jobsWaiting,tâche(s) en attente
maintain,Ce projet est maintenu par les collaborateurs QMK et des contributeurs comme vous!
ready,
searchKeycodes,
serverIs,
serverStatus,Statut du serveur
settings,
statsTemplate,"
{layers} calques et {count} touches chargées. {any} emplacements vides définis
"
ColorwayTip:title,Ctrl + Alt + N pour changer de coloris
compile:label,Compiler
compile:title,Compile la disposition des touches actuelle
downloadFirmware:label,Firmware
downloadFirmware:title,Télécharge le fichier du firmware à flash
downloadJSON:label,Disposition.JSON
downloadJSON:title,Exporte le fichier .JSON de la disposition des touches actuelle
downloadKeymap:label,disposition seulement
downloadKeymap:title,Télécharge seulement le fichier de disposition des touches keymap.c
downloadSource:label,Code Source
downloadSource:title,Télécharge le code source de qmk.fm
downloadToolbox:label,Obtenir QMK Toolbox
errors:invalidQMKKeymap,"Désolé, cela ne semble pas être un fichier de disposition QMK valide."
errors:kbfirmwareJSONUnsupported,"Désolé, le Configurateur QMK ne supporte pas l'importation des fichiers JSON de kbfirmware."
errors:unknownJSON,"Désolé, cela ne semble pas être un fichier de disposition QMK."
errors:unsupportedBrowser,Vous utilisez un navigateur non-supporté. Utilisez s'il vous plait
flashFile:label,Flash Manuel
flashFile:title,Flash le fichier selectionné
flashFirmware:label,Flash Automatique
flashFirmware:title,Flash automatiquement le firmware compilé
githubKeyboardFolder:title,
help:label,Invoque le Sorcier
importJSON:title,Importe un fichier .JSON de disposition des touches
importUrlJSON:title,Importe une disposition QMK .JSON d'une URL
keyboard:label,clavier
keycodes:label,Codes des touches
keycodesRef:label,Référence
keycodesTab:ANSI:label,ANSI
keycodesTab:AppMediaMouse:label,"Apps, Médias et Souris"
keycodesTab:ISO/JIS:label,ISO/JIS
keycodesTab:KeyboardSettings:label,Paramètres du clavier
keycodesTab:Lighting:label,
keycodesTab:Quantum:label,Quantum
keycodesTab:Steno:label,Sténo
keymap:label,Disposition
keymapHelp:label,
keymapHelp:title,
keymapName:label,Nom de la disposition
keymapName:placeholder,Disposition Personnalisée
layer:confirm,Etes-vous sur de vouloir effacer ce calque?
layer:label,Calque
layer:title,Efface le calque
layout:label,version
loadDefault:label,Disposition par défaut
loadDefault:title,Charge la disposition des touches par défaut de QMK
potato:1,"Henry Spalding a été le premier à cultiver les patates en Idaho,US en 1837."
potato:10,La Chine est le plus grand producteur de pomme-de-terre au monde.
potato:11,La patate est le premier légume à avoir été cultivé dans l'espace.
potato:12,La patate est sans-gluten.
