Key,Translation
apiVersion,Versi API
apiVersionPrefix,
favoriteColor,
favoriteKeyboard,
hostedOn,Dihos di GitHub Pages
jobsAhead,
jobsWaiting,kerja sedang menunggu
maintain,Project ini dikendalikan oleh kolabrasi QMK dan penyumbang seperti anda!
ready,
searchKeycodes,
serverIs,
serverStatus,Status Pelayan
settings,
statsTemplate,"
{layers} lapisan dan {count} kod kekunci yang diload. Definasikan {any} apa-apa kod kekunci
"
ColorwayTip:title,Ctrl + Alt + N untuk pilih warna seterusnya
compile:label,Kompil
compile:title,Kompil Keymap
downloadFirmware:label,Perisian tegar
downloadFirmware:title,Muat turun fail perisian tegar untuk di flash
downloadJSON:label,Keymap.JSON
downloadJSON:title,Eksport fail JSON QMK Keymap
downloadKeymap:label,keymap sahaja
downloadKeymap:title,Muat turun keymap.c
downloadSource:label,Sumber Penuh
downloadSource:title,Muat turun kod perisian tegar QMK
downloadToolbox:label,Dapatkan QMK Toolbox
errors:invalidQMKKeymap,"Maaf, itu tidak merupakan file QMK keymap yang benar."
errors:kbfirmwareJSONUnsupported,"Maaf, QMK Configurator tidak menyokong mengimport fail jSON kbfirmware."
errors:unknownJSON,"Maaf, itu tidak merupakan file QMK keymap."
errors:unsupportedBrowser,Anda mengunakan pelayar yang tak disokong. Sila gunakan
flashFile:label,Custom-Flash
flashFile:title,Flash file pilihan penguna kepada MCU
flashFirmware:label,Auto-Flash
flashFirmware:title,Flash perisian tegar yang dikompil kepada MCU secara automatik
githubKeyboardFolder:title,
help:label,Panggil Wizard
importJSON:title,Import fail JSON QMK Keymap
importUrlJSON:title,Import fail JSON QMK Keymap dari URL
keyboard:label,papan kekunci
keycodes:label,Kod kekunci
keycodesRef:label,Rujukan kod kekunci
keycodesTab:ANSI:label,ANSI
keycodesTab:AppMediaMouse:label,"App, Media and Tetikus"
keycodesTab:ISO/JIS:label,ISO/JIS
keycodesTab:KeyboardSettings:label,Seting papan kekunci
keycodesTab:Lighting:label,
keycodesTab:Quantum:label,Quantum
keycodesTab:Steno:label,
keymap:label,Keymap
keymapHelp:label,
keymapHelp:title,
keymapName:label,Nama Keymap
keymapName:placeholder,Sesuaikan nama keymap
layer:confirm,Anda pasti ingin membuang lapisan?
layer:label,Lapisan
layer:title,Buang Lapisan
layout:label,susunan
loadDefault:label,Memuat keymap asal
loadDefault:title,Memuatkan keymap asal dari QMK Firmware
potato:1,Tanaman kentang pertama Henry Spalding di Idaho pada 1837.
potato:10,China adalah pengeluar kentang terbesar di dunia.
potato:11,Kentang adalah sayuran pertama yang ditanam di ruang angkasa.
potato:12,Kentang adalah bebas dari gluten sepenuhnya.
potato:13,Salah satu pengukuran waktu yang paling asas dalam waktu adalah masa yang diambil untuk memasak kentang.
potato:14,"Sekiranya kentang terdedah kepada cahaya semasa tumbuh, ia akan menjadi hijau dan menjadi beracun."
potato:15,"Ia mengambil 10,000 paun kentang untuk membuat 2,500 paun kentang goreng."
potato:16,Hari ini terdapat lebih daripada 4000 jenis kentang yang berbeza.
