Key,Translation
apiVersion,API 版本
apiVersionPrefix,API
favoriteColor,收藏配色
favoriteKeyboard,收藏键盘
hostedOn,部署在 GitHub Pages
jobsAhead,前往
jobsWaiting,个任务等待中
maintain,该项目由 QMK 开发者和贡献者维护
ready,就绪
searchKeycodes,搜索
serverIs,服务
serverStatus,服务状态
settings,设置
statsTemplate,"
已加载 {layers} 个层和 {count} 个键位码，已定义 {any} 任意键位码
"
ColorwayTip:title,Ctrl + Alt + N 切换下一个配色
compile:label,编译
compile:title,编译键位
downloadFirmware:label,固件
downloadFirmware:title,下载固件
downloadJSON:label,Keymap.JSON
downloadJSON:title,导出 Keymap JSON 文件
downloadKeymap:label,仅键位
downloadKeymap:title,仅下载 keymap.c
downloadSource:label,全部代码
downloadSource:title,下载 QMK 固件代码
downloadToolbox:label,获取 QMK Toolbox
errors:invalidQMKKeymap,对不起，这不是一个合法的 QMK keymap 文件
errors:kbfirmwareJSONUnsupported,对不起，QMK Configurator 不支持 kbfirmware JSON 文件。
errors:unknownJSON,对不起，这似乎不是一个 QMK keymap 文件
errors:unsupportedBrowser,你正在使用一个不支持的浏览器。建议使用
flashFile:label,自定义刷写
flashFile:title,刷写选择的固件文件到 MCU
flashFirmware:label,自动刷写
flashFirmware:title,自动将编译好的固件刷写到 MCU
help:label,开启向导
importJSON:title,导入 Keymap JSON 文件
importUrlJSON:title,从 URL 导入 Keymap JSON 文件
keyboard:label,键盘
keycodes:label,键位码
keycodesRef:label,键位码参考
keycodesTab:ANSI:label,ANSI
keycodesTab:AppMediaMouse:label,应用、多媒体和鼠标
keycodesTab:ISO/JIS:label,ISO/JIS
keycodesTab:KeyboardSettings:label,键盘设置
keycodesTab:Quantum:label,量子
keymap:label,键位
keymapHelp:label,帮助
keymapHelp:title,如何使用 keymap.json？
keymapName:label,键位名
keymapName:placeholder,自定义键位名
layer:confirm,确认清除该层？
layer:label,键位层
layer:title,清除层
layout:label,配列
loadDefault:label,加载默认
loadDefault:title,从 QMK 固件加载默认键位
potato:1,亨利·斯伯丁于1837年在爱达荷首次种植马铃薯。
potato:10,中国是最大的马铃薯生产国。
potato:11,马铃薯是第一种在太空中种植的蔬菜。
potato:12,土豆是完全无麸质。
potato:13,印加对于时间最基本的衡量标准之一是煮土豆所需的时间。
potato:14,如果马铃薯暴露在光线中生长，它会变绿并且带有毒性。
potato:15,"“制造2500磅薯片需要10,000磅土豆。”"
potato:16,如今有4000多种不同的土豆。
potato:17,“马铃薯属于一个科，茄属植物或茄科。”
potato:18,“在阿拉斯加克朗代克淘金热期间（1897年至1898年），土豆在重量上和黄金实际上是等值的。”
potato:19,"“沃尔特·罗利爵士于1589年在科克附近的40,000英亩土地上将土豆引入了爱尔兰。”"
potato:2,法式薯条由托马斯·杰斐逊在一次白宫晚宴中带到美国。
potato:20,一年四季都可以收获马铃薯，因为它们每个月都会在某个地方收获。
potato:21,“原产于非洲和亚洲的洋芋大小不一，从小土豆到创纪录的130磅。”
potato:22,8月19日和10月27日是美国的国家马铃薯日。
potato:23,“马铃薯还可以用来酿造酒精饮料，例如伏特加，波奇恩或阿夸维特。”
