Key,Translation
apiVersion,API 版本
apiVersionPrefix,API
favoriteColor,收藏配色
favoriteKeyboard,收藏鍵盤
hostedOn,部署在 GitHub Pages
jobsAhead,前往
jobsWaiting,個任務等待中
maintain,該項目由 QMK 開發者和貢獻者維護
ready,就緒
searchKeycodes,搜索
serverIs,服務
serverStatus,服務狀態
settings,設置
statsTemplate,"
已加載 {layers} 個層和 {count} 個鍵位碼，已定義 {any} 任意鍵位碼
"
ColorwayTip:title,Ctrl + Alt + N 切換下一個配色
compile:label,編譯
compile:title,編譯鍵位
downloadFirmware:label,固件
downloadFirmware:title,下載固件
downloadJSON:label,Keymap.JSON
downloadJSON:title,導出 Keymap JSON 文件
downloadKeymap:label,僅鍵位
downloadKeymap:title,僅下載 keymap.c
downloadSource:label,全部代碼
downloadSource:title,下載 QMK 固件代碼
downloadToolbox:label,獲取 QMK Toolbox
errors:invalidQMKKeymap,對不起，這不是一個合法的 QMK keymap 文件
errors:kbfirmwareJSONUnsupported,對不起，QMK Configurator 不支持 kbfirmware JSON 文件。
errors:unknownJSON,對不起，這似乎不是一個 QMK keymap 文件
errors:unsupportedBrowser,你正在使用一個不支持的瀏覽器。建議使用
flashFile:label,自定義刷寫
flashFile:title,刷寫選擇的固件文件到 MCU
flashFirmware:label,自動刷寫
flashFirmware:title,自動將編譯好的固件刷寫到 MCU
githubKeyboardFolder:title,在Github上查看這個鍵盤
help:label,開啓嚮導
importJSON:title,導入 Keymap JSON 文件
importUrlJSON:title,從 URL 導入 Keymap JSON 文件
keyboard:label,鍵盤
keycodes:label,鍵位碼
keycodesRef:label,鍵位碼參考
keycodesTab:ANSI:label,ANSI
keycodesTab:AppMediaMouse:label,應用、多媒體和鼠標
keycodesTab:ISO/JIS:label,ISO/JIS
keycodesTab:KeyboardSettings:label,鍵盤設置
keycodesTab:Lighting:label,
keycodesTab:Quantum:label,量子
keycodesTab:Steno:label,
keymap:label,鍵位
keymapHelp:label,幫助
keymapHelp:title,如何使用 keymap.json？
keymapName:label,鍵位名
keymapName:placeholder,自定義鍵位名
layer:confirm,確認清除該層？
layer:label,鍵位層
layer:title,清除層
layout:label,配列
loadDefault:label,加載默認
loadDefault:title,從 QMK 固件加載默認鍵位
potato:1,亨利·斯伯丁於1837年在愛達荷首次種植馬鈴薯。
potato:10,中國是最大的馬鈴薯生產國。
potato:11,馬鈴薯是第一種在太空中種植的蔬菜。
potato:12,土豆是完全無麩質。
potato:13,印加對於時間最基本的衡量標準之一是煮土豆所需的時間。
potato:14,如果馬鈴薯暴露在光線中生長，它會變綠並且帶有毒性。
potato:15,"製造2500磅薯片需要10,000磅土豆。"
potato:16,如今有4000多種不同的土豆。
potato:17,馬鈴薯屬於一個科，茄屬植物或茄科。
potato:18,在阿拉斯加克朗代克淘金熱期間（1897年至1898年），土豆在重量上和黃金實際上是等值的。
potato:19,"沃爾特·羅利爵士於1589年在科克附近的40,000英畝土地上將土豆引入了愛爾蘭。"
potato:2,法式薯條由托馬斯·傑斐遜在一次白宮晚宴中帶到美國。
potato:20,一年四季都可以收穫馬鈴薯，因為它們每個月都會在某個地方收穫。
